#Object 1 Info:
#Object: Sun 1
#   Mass: 0.500000 Solar masses
#   Position: (2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.377427, 0.000000) AU/year

#Object 2 Info:
#Object: Sun 2
#   Mass: 0.500000 Solar masses
#   Position: (-2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -1.377427, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun 1_x,Sun 1_y,Sun 1_z,Sun 2_x,Sun 2_y,Sun 2_z
1.78,1.52669,2.10408,0,-1.52669,-2.10408,0
1.79,1.51551,2.11214,0,-1.51551,-2.11214,0
1.8,1.5043,2.12014,0,-1.5043,-2.12014,0
1.81,1.49304,2.12808,0,-1.49304,-2.12808,0
1.82,1.48174,2.13596,0,-1.48174,-2.13596,0
1.83,1.47039,2.14378,0,-1.47039,-2.14378,0
1.84,1.45901,2.15153,0,-1.45901,-2.15153,0
1.85,1.44758,2.15923,0,-1.44758,-2.15923,0
1.86,1.43612,2.16687,0,-1.43612,-2.16687,0
1.87,1.42461,2.17445,0,-1.42461,-2.17445,0
1.88,1.41307,2.18196,0,-1.41307,-2.18196,0
1.89,1.40148,2.18942,0,-1.40148,-2.18942,0
1.9,1.38986,2.19681,0,-1.38986,-2.19681,0
1.91,1.37819,2.20414,0,-1.37819,-2.20414,0
1.92,1.36649,2.21141,0,-1.36649,-2.21141,0
1.93,1.35475,2.21862,0,-1.35475,-2.21862,0
1.94,1.34297,2.22576,0,-1.34297,-2.22576,0
1.95,1.33115,2.23284,0,-1.33115,-2.23284,0
1.96,1.3193,2.23986,0,-1.3193,-2.23986,0
1.97,1.30741,2.24682,0,-1.30741,-2.24682,0
1.98,1.29548,2.25371,0,-1.29548,-2.25371,0
1.99,1.28351,2.26054,0,-1.28351,-2.26054,0
2,1.27151,2.26731,0,-1.27151,-2.26731,0
2.01,1.25948,2.27401,0,-1.25948,-2.27401,0
2.02,1.24741,2.28065,0,-1.24741,-2.28065,0
2.03,1.2353,2.28723,0,-1.2353,-2.28723,0
2.04,1.22316,2.29374,0,-1.22316,-2.29374,0
2.05,1.21098,2.30019,0,-1.21098,-2.30019,0
2.06,1.19877,2.30657,0,-1.19877,-2.30657,0
2.07,1.18653,2.31288,0,-1.18653,-2.31288,0
2.08,1.17425,2.31914,0,-1.17425,-2.31914,0
2.09,1.16194,2.32532,0,-1.16194,-2.32532,0
2.1,1.1496,2.33144,0,-1.1496,-2.33144,0
2.11,1.13722,2.3375,0,-1.13722,-2.3375,0
2.12,1.12482,2.34349,0,-1.12482,-2.34349,0
2.13,1.11238,2.34942,0,-1.11238,-2.34942,0
2.14,1.09991,2.35527,0,-1.09991,-2.35527,0
2.15,1.08741,2.36107,0,-1.08741,-2.36107,0
2.16,1.07488,2.36679,0,-1.07488,-2.36679,0
2.17,1.06232,2.37245,0,-1.06232,-2.37245,0
2.18,1.04973,2.37804,0,-1.04973,-2.37804,0
2.19,1.03711,2.38357,0,-1.03711,-2.38357,0
2.2,1.02446,2.38903,0,-1.02446,-2.38903,0
2.21,1.01178,2.39442,0,-1.01178,-2.39442,0
2.22,0.999071,2.39975,0,-0.999071,-2.39975,0
2.23,0.986336,2.405,0,-0.986336,-2.405,0
2.24,0.973574,2.41019,0,-0.973574,-2.41019,0
2.25,0.960784,2.41531,0,-0.960784,-2.41531,0
2.26,0.947967,2.42037,0,-0.947967,-2.42037,0
2.27,0.935123,2.42535,0,-0.935123,-2.42535,0
2.28,0.922253,2.43027,0,-0.922253,-2.43027,0
2.29,0.909357,2.43512,0,-0.909357,-2.43512,0
2.3,0.896436,2.4399,0,-0.896436,-2.4399,0
2.31,0.883489,2.44462,0,-0.883489,-2.44462,0
2.32,0.870518,2.44926,0,-0.870518,-2.44926,0
2.33,0.857522,2.45384,0,-0.857522,-2.45384,0
2.34,0.844502,2.45834,0,-0.844502,-2.45834,0
2.35,0.831459,2.46278,0,-0.831459,-2.46278,0
2.36,0.818392,2.46715,0,-0.818392,-2.46715,0
2.37,0.805302,2.47145,0,-0.805302,-2.47145,0
2.38,0.792189,2.47567,0,-0.792189,-2.47567,0
2.39,0.779054,2.47983,0,-0.779054,-2.47983,0
2.4,0.765897,2.48392,0,-0.765897,-2.48392,0
2.41,0.752719,2.48794,0,-0.752719,-2.48794,0
2.42,0.739519,2.49189,0,-0.739519,-2.49189,0
2.43,0.726299,2.49577,0,-0.726299,-2.49577,0
2.44,0.713059,2.49958,0,-0.713059,-2.49958,0
2.45,0.699798,2.50332,0,-0.699798,-2.50332,0
2.46,0.686517,2.50699,0,-0.686517,-2.50699,0
2.47,0.673218,2.51059,0,-0.673218,-2.51059,0
2.48,0.659899,2.51412,0,-0.659899,-2.51412,0
2.49,0.646562,2.51758,0,-0.646562,-2.51758,0
2.5,0.633207,2.52097,0,-0.633207,-2.52097,0
2.51,0.619834,2.52428,0,-0.619834,-2.52428,0
2.52,0.606443,2.52753,0,-0.606443,-2.52753,0
2.53,0.593036,2.5307,0,-0.593036,-2.5307,0
2.54,0.579612,2.53381,0,-0.579612,-2.53381,0
