#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (0.049166, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.026030, 0.000000) AU/year

#Object 2 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (1.049166, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.309215, 0.000000) AU/year

#Object 3 Info:
#Object: Jupiter
#   Mass: 0.009546 Solar masses
#   Position: (-5.150831, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -2.728804, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Earth_x,Earth_y,Earth_z,Jupiter_x,Jupiter_y,Jupiter_z
1.33,0.0373372,0.0318128,0,-0.448793,0.904957,0,-3.9112,-3.33291,0
1.34,0.0371662,0.0320101,0,-0.502884,0.872848,0,-3.89327,-3.35357,0
1.35,0.0369941,0.0322065,0,-0.554839,0.837413,0,-3.87523,-3.37413,0
1.36,0.036821,0.032402,0,-0.604454,0.798791,0,-3.85707,-3.39459,0
1.37,0.0366468,0.0325965,0,-0.651533,0.757135,0,-3.83881,-3.41496,0
1.38,0.0364715,0.0327902,0,-0.69589,0.712613,0,-3.82044,-3.43523,0
1.39,0.0362953,0.0329829,0,-0.73735,0.665399,0,-3.80196,-3.45541,0
1.4,0.0361179,0.0331747,0,-0.77575,0.615682,0,-3.78337,-3.47548,0
1.41,0.0359395,0.0333655,0,-0.810938,0.563658,0,-3.76467,-3.49545,0
1.42,0.0357601,0.0335554,0,-0.842775,0.509535,0,-3.74587,-3.51533,0
1.43,0.0355797,0.0337443,0,-0.871137,0.453527,0,-3.72695,-3.5351,0
1.44,0.0353982,0.0339323,0,-0.895911,0.395856,0,-3.70794,-3.55478,0
1.45,0.0352157,0.0341193,0,-0.917,0.336752,0,-3.68881,-3.57435,0
1.46,0.0350322,0.0343053,0,-0.934321,0.276448,0,-3.66958,-3.59382,0
1.47,0.0348476,0.0344904,0,-0.947806,0.215185,0,-3.65025,-3.61319,0
1.48,0.0346621,0.0346745,0,-0.957403,0.153205,0,-3.63081,-3.63245,0
1.49,0.0344756,0.0348576,0,-0.963074,0.0907543,0,-3.61126,-3.65161,0
1.5,0.034288,0.0350396,0,-0.964798,0.028081,0,-3.59162,-3.67066,0
1.51,0.0340995,0.0352207,0,-0.962568,-0.0345663,0,-3.57187,-3.68962,0
1.52,0.03391,0.0354008,0,-0.956393,-0.0969388,0,-3.55202,-3.70846,0
1.53,0.0337195,0.0355799,0,-0.9463,-0.158789,0,-3.53206,-3.7272,0
1.54,0.033528,0.0357579,0,-0.932328,-0.219871,0,-3.51201,-3.74583,0
1.55,0.0333356,0.0359349,0,-0.914535,-0.279944,0,-3.49185,-3.76436,0
1.56,0.0331422,0.0361109,0,-0.89299,-0.338767,0,-3.4716,-3.78277,0
1.57,0.0329478,0.0362859,0,-0.867781,-0.396108,0,-3.45125,-3.80108,0
1.58,0.0327525,0.0364598,0,-0.839008,-0.451739,0,-3.43079,-3.81928,0
1.59,0.0325562,0.0366326,0,-0.806786,-0.50544,0,-3.41024,-3.83737,0
1.6,0.032359,0.0368044,0,-0.771244,-0.556997,0,-3.38959,-3.85535,0
1.61,0.0321608,0.0369752,0,-0.732522,-0.606206,0,-3.36885,-3.87323,0
1.62,0.0319617,0.0371448,0,-0.690776,-0.652871,0,-3.34801,-3.89098,0
1.63,0.0317617,0.0373134,0,-0.646172,-0.696808,0,-3.32707,-3.90863,0
1.64,0.0315608,0.037481,0,-0.598886,-0.737842,0,-3.30604,-3.92617,0
1.65,0.031359,0.0376474,0,-0.549108,-0.77581,0,-3.28491,-3.94359,0
1.66,0.0311562,0.0378128,0,-0.497035,-0.810561,0,-3.26369,-3.9609,0
1.67,0.0309526,0.037977,0,-0.442874,-0.841959,0,-3.24237,-3.9781,0
1.68,0.0307481,0.0381402,0,-0.386841,-0.869878,0,-3.22096,-3.99519,0
1.69,0.0305427,0.0383022,0,-0.329157,-0.894208,0,-3.19946,-4.01215,0
1.7,0.0303364,0.0384632,0,-0.270053,-0.914852,0,-3.17787,-4.02901,0
1.71,0.0301292,0.038623,0,-0.209763,-0.931729,0,-3.15619,-4.04575,0
1.72,0.0299212,0.0387817,0,-0.148526,-0.944772,0,-3.13441,-4.06237,0
1.73,0.0297123,0.0389393,0,-0.0865845,-0.953928,0,-3.11255,-4.07887,0
1.74,0.0295025,0.0390958,0,-0.0241852,-0.959162,0,-3.09059,-4.09526,0
1.75,0.0292919,0.0392511,0,0.038425,-0.960453,0,-3.06855,-4.11153,0
1.76,0.0290805,0.0394053,0,0.100998,-0.957796,0,-3.04642,-4.12769,0
1.77,0.0288682,0.0395583,0,0.163285,-0.951201,0,-3.02421,-4.14372,0
