#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (-0.010078, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -0.003377, 0.000000) AU/year

#Object 2 Info:
#Object: Mercury
#   Mass: 0.000000 Solar masses
#   Position: (0.376922, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 10.046623, 0.000000) AU/year

#Object 3 Info:
#Object: Venus
#   Mass: 0.000002 Solar masses
#   Position: (0.712922, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 7.376624, 0.000000) AU/year

#Object 4 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (0.989924, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.279642, 0.000000) AU/year

#Object 5 Info:
#Object: Mars
#   Mass: 0.000000 Solar masses
#   Position: (1.513927, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 5.076661, 0.000000) AU/year

#Object 6 Info:
#Object: Jupiter
#   Mass: 0.000955 Solar masses
#   Position: (5.192928, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.756663, 0.000000) AU/year

#Object 7 Info:
#Object: Saturn
#   Mass: 0.000286 Solar masses
#   Position: (9.531892, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.039296, 0.000000) AU/year

#Object 8 Info:
#Object: Uranus
#   Mass: 0.000044 Solar masses
#   Position: (19.188616, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.429879, 0.000000) AU/year

#Object 9 Info:
#Object: Neptune
#   Mass: 0.000051 Solar masses
#   Position: (30.068453, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.139941, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 30.000000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z
0.24,-0.0100278,-0.000803586,0,0.373419,0.0497429,0,-0.569167,0.450589,0,0.0523648,0.996869,0,1.04982,1.09184,0,5.151,0.659818,0,9.51935,0.489218,0,19.1855,0.343153,0,30.0672,0.273582,0
0.25,-0.0100237,-0.000836613,0,0.346903,0.146493,0,-0.612626,0.390383,0,-0.0104458,0.99876,0,1.01264,1.1265,0,5.14744,0.687153,0,9.51828,0.509583,0,19.1853,0.357449,0,30.0671,0.284981,0
0.26,-0.0100196,-0.000869596,0,0.295913,0.23314,0,-0.649669,0.326012,0,-0.0732546,0.996699,0,0.974305,1.15989,0,5.14374,0.714468,0,9.51717,0.529946,0,19.185,0.371745,0,30.067,0.29638,0
0.27,-0.0100153,-0.000902535,0,0.223786,0.303621,0,-0.679899,0.25816,0,-0.135813,0.990696,0,0.934871,1.19199,0,5.13989,0.741764,0,9.51602,0.550307,0,19.1847,0.386041,0,30.0669,0.307779,0
0.28,-0.0100108,-0.000935432,0,0.135349,0.352857,0,-0.702992,0.187547,0,-0.197875,0.980772,0,0.89438,1.22275,0,5.13589,0.769038,0,9.51482,0.570665,0,19.1844,0.400337,0,30.0667,0.319178,0
0.29,-0.0100062,-0.000968286,0,0.0366574,0.377133,0,-0.718698,0.114925,0,-0.259193,0.966967,0,0.852875,1.25214,0,5.13175,0.796291,0,9.51358,0.59102,0,19.1841,0.414633,0,30.0666,0.330576,0
0.3,-0.0100015,-0.0010011,0,-0.0653663,0.374413,0,-0.726848,0.0410681,0,-0.319526,0.949335,0,0.810403,1.28012,0,5.12747,0.823522,0,9.5123,0.611373,0,19.1838,0.428928,0,30.0665,0.341975,0
0.31,-0.00999668,-0.00103387,0,-0.16339,0.344571,0,-0.727356,-0.0332375,0,-0.378635,0.927946,0,0.767011,1.30667,0,5.12304,0.850729,0,9.51097,0.631723,0,19.1835,0.443223,0,30.0664,0.353374,0
0.32,-0.00999172,-0.00106661,0,-0.250212,0.28949,0,-0.720214,-0.1072,0,-0.436286,0.902883,0,0.722748,1.33175,0,5.11847,0.877913,0,9.5096,0.65207,0,19.1831,0.457518,0,30.0662,0.364772,0
0.33,-0.00998663,-0.0010993,0,-0.319334,0.213002,0,-0.705502,-0.180031,0,-0.492251,0.874245,0,0.677663,1.35533,0,5.11376,0.905072,0,9.50818,0.672414,0,19.1828,0.471812,0,30.0661,0.376171,0
